Nao	Soul	58	0.412	0.494
Naoyuki Onda	Anime	7	0.529	0.399
Natti Natasha	Reggaeton	52	0.771	0.51
Natural Incense	Reggae	29	0.651	0.764
Ne-Yo	R&B	59	0.753	0.711
Nelly	Hip-Hop	52	0.584	0.844
Nick Di Paolo	Comedy	10	0.828	0.584
Nick Di Paolo	Comedy	11	0.916	0.587
Nick Drake	Folk	44	0.0565	0.696
Nick Drake	Rock	58	0.382	0.605
Nick Hakim	Alternative	43	0.756	0.555
Nick Jonas	Rap	61	0.656	0.432
Nickelback	Children’s Music	66	0.858	0.455
Nicky Jam	Reggaeton	28	0.978	0.729
Nightmares On Wax	Electronic	54	0.339	0.503
Nina Simone	Blues	43	0.511	0.386
Nine Inch Nails	Children’s Music	51	0.934	0.521
No Use For A Name	Ska	46	0.986	0.289
Noah Kahan	Rock	67	0.464	0.569
Nobuo Uematsu	Anime	18	0.464	0.143
Nobuo Uematsu	Anime	22	0.163	0.43
Nobuo Uematsu	Anime	33	0.115	0.167
Novo Amor	Folk	52	0.263	0.398
OK Go	Children’s Music	61	0.767	0.389
OMB Peezy	Rap	52	0.595	0.51
Of Monsters and Men	Children’s Music	46	0.659	0.375
Of Monsters and Men	Indie	54	0.446	0.381
Oh No	Children’s Music	51	0.433	0.686
Oh Wonder	Rock	62	0.426	0.521
Olga Tanon	Reggaeton	22	0.733	0.585
Olivia Holt	Dance	50	0.883	0.639
Olivia Lane	Country	54	0.739	0.519
